"","bee","V2","cp","bee1"
"413","articles-peche.fr","Sports",0,"Chasse et pêche"
"414","pacificpeche.com","Sports",0,"Chasse et pêche"
"415","ducatillon.com","Sports",0,"Chasse et pêche"
"416","alltricks.fr","Sports",1,"Cyclisme"
"417","bike-discount.de","Sports",0,"Cyclisme"
"418","ekoi.fr","Sports",0,"Cyclisme"
"419","ultimebike.com","Sports",0,"Cyclisme"
"420","bikester.fr","Sports",1,"Cyclisme"
"421","fr.theproteinworks.com","Sports",1,"Fitness et musculation"
"422","prozis.com","Sports",0,"Fitness et musculation"
"423","nu3.fr","Sports",1,"Fitness et musculation"
"424","fr.myprotein.com","Sports",1,"Fitness et musculation"
"425","fitnessboutique.fr","Sports",0,"Fitness et musculation"
"426","rugbyshop.com","Sports",0,"Sports de ballon"
"427","basket4ballers.com","Sports",0,"Sports de ballon"
"428","boutique.fff.fr","Sports",0,"Sports de ballon"
"429","basketstore.fr","Sports",1,"Sports de ballon"
"430","nbastore.eu","Sports",1,"Sports de ballon"
"431","hardloop.fr","Sports",1,"Activités outdoor"
"432","atlasformen.fr","Sports",0,"Activités outdoor"
"433","barrabes.com","Sports",0,"Activités outdoor"
"434","glisshop.com","Sports",0,"Activités outdoor"
"435","campz.fr","Sports",1,"Activités outdoor"
"436","asadventure.fr","Sports",1,"Activités outdoor"
"437","expe.fr","Sports",0,"Activités outdoor"
"438","speck-sports.com","Sports",1,"Activités outdoor"
"439","speck-sports.com","Sports",1,"Activités outdoor"
"440","speck-sports.com","Sports",1,"Activités outdoor"
"441","speck-sports.com","Sports",1,"Activités outdoor"
"442","freeride-attitude.com","Sports",0,"Activités outdoor"
"443","merrell.com","Sports",1,"Activités outdoor"
"444","thenorthface.fr","Sports",0,"Activités outdoor"
"445","snowleader.com","Sports",0,"Activités outdoor"
"446","surfdome.fr","Sports",1,"Activités outdoor"
"447","h2r-equipements.com","Sports",0,"Activités outdoor"
"448","blue-tomato.com","Sports",1,"Sportswear"
"449","reebok.fr","Sports",0,"Sportswear"
"450","superdry.fr","Sports",1,"Sportswear"
"451","adidas.fr","Sports",1,"Sportswear"
